ID,Tipo,Descripción corta,Descripción,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3
12841,variable,Pletina de hierro de 10x3 mm,Pletina de hierro de 10x3 mm. Calidad: S275JR,50,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12842,variable,Pletina de hierro de 10x4 mm,Pletina de hierro de 10x4 mm. Calidad: S275JR,51,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12843,variable,Pletina de hierro de 10x5 mm,Pletina de hierro de 10x5 mm. Calidad: S275JR,52,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12844,variable,Pletina de hierro de 10x6 mm,Pletina de hierro de 10x6 mm. Calidad: S275JR,53,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12845,variable,Pletina de hierro de 12x3 mm,Pletina de hierro de 12x3 mm. Calidad: S275JR,77,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12846,variable,Pletina de hierro de 12x5 mm,Pletina de hierro de 12x5 mm. Calidad: S275JR,78,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12847,variable,Pletina de hierro de 14x3 mm,Pletina de hierro de 14x3 mm. Calidad: S275JR,103,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12848,variable,Pletina de hierro de 14x4 mm,Pletina de hierro de 14x4 mm. Calidad: S275JR,104,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12849,variable,Pletina de hierro de 14x5 mm,Pletina de hierro de 14x5 mm. Calidad: S275JR,105,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12850,variable,Pletina de hierro de 14x6 mm,Pletina de hierro de 14x6 mm. Calidad: S275JR,106,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
