ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (mm),Anchura (mm),Altura (mm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
12621 saf,variable,TSRD101,Tubo redondo 10x1 mm,1,0,visible,Tubo redondo de hierro de 10x1 mm,Tubo redondo de hierro de 10x1 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.23,6000,10,1,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12622 saf,variable,TSRD102,Tubo redondo 12x1 mm,1,0,visible,Tubo redondo de hierro de 12x1 mm,Tubo redondo de hierro de 12x1 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.28,6000,12,1,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12623 saf,variable,TSRD103,Tubo redondo 12x1.5 mm,1,0,visible,Tubo redondo de hierro de 12x1.5 mm,Tubo redondo de hierro de 12x1.5 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.4,6000,12,1.5,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12624 saf,variable,TSRD104,Tubo redondo 13x1 mm,1,0,visible,Tubo redondo de hierro de 13x1 mm,Tubo redondo de hierro de 13x1 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.31,6000,13,1,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12625 saf,variable,TSRD105,Tubo redondo 13x1.5 mm,1,0,visible,Tubo redondo de hierro de 13x1.5 mm,Tubo redondo de hierro de 13x1.5 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.44,6000,13,1.5,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12626 saf,variable,TSRD106,Tubo redondo 14x1 mm,1,0,visible,Tubo redondo de hierro de 14x1 mm,Tubo redondo de hierro de 14x1 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.33,6000,14,1,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12627 saf,variable,TSRD107,Tubo redondo 14x1.5 mm,1,0,visible,Tubo redondo de hierro de 14x1.5 mm,Tubo redondo de hierro de 14x1.5 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.48,6000,14,1.5,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12628 saf,variable,TSRD108,Tubo redondo 14x2 mm,1,0,visible,Tubo redondo de hierro de 14x2 mm,Tubo redondo de hierro de 14x2 mm. Calidad: S235JR,,,taxable,,1,,,0,0,592,6000,14,2,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12629 saf,variable,TSRD109,Tubo redondo 15x1 mm,1,0,visible,Tubo redondo de hierro de 15x1 mm,Tubo redondo de hierro de 15x1 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.35,6000,15,1,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12630 saf,variable,TSRD110,Tubo redondo 15x1.5 mm,1,0,visible,Tubo redondo de hierro de 15x1.5 mm,Tubo redondo de hierro de 15x1.5 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.52,6000,15,1.5,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12631 saf,variable,TSRD111,Tubo redondo 16x1 mm,1,0,visible,Tubo redondo de hierro de 16x1 mm,Tubo redondo de hierro de 16x1 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.38,6000,16,1,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12632 saf,variable,TSRD112,Tubo redondo 16x1.5 mm,1,0,visible,Tubo redondo de hierro de 16x1.5 mm,Tubo redondo de hierro de 16x1.5 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.56,6000,16,1.5,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12633 saf,variable,TSRD113,Tubo redondo 16x2 mm,1,0,visible,Tubo redondo de hierro de 16x2 mm,Tubo redondo de hierro de 16x2 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.72,6000,16,2,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12634 saf,variable,TSRD114,Tubo redondo 18x1 mm,1,0,visible,Tubo redondo de hierro de 18x1 mm,Tubo redondo de hierro de 18x1 mm. Calidad: S235JR,,,taxable,,1,,,0,0,419,6000,18,1,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
12635 saf,variable,TSRD115,Tubo redondo 18x1.5 mm,1,0,visible,Tubo redondo de hierro de 18x1.5 mm,Tubo redondo de hierro de 18x1.5 mm. Calidad: S235JR,,,taxable,,1,,,0,0,0.63,6000,18,1.5,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Redondo, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/06/tubos-soldados-redondos-min.webp,,,,,,,,,0,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,
