ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (mm),Anchura (mm),Altura (mm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3
12036,variable,TSC101,Tubo de hierro cuadrado 10x10x1 mm.,1,0,visible,"Tubo de hierro cuadrado 10x10x1 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h1>Tubo de hierro cuadrado 10x10x1 mm.</h1>,,,taxable,,1,,,0,0,0.32,1,10,10,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,100,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
12037,variable,TSC102,Tubo de hierro cuadrado 10x10x1.5 mm.,1,0,visible,"Tubo de hierro cuadrado 10x10x1.5 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h2>Tubo de hierro cuadrado 10x10x1.5 mm. </h2>,,,taxable,,1,,,0,0,0.47,1.5,10,10,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,101,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
12038,variable,TSC103,Tubo de hierro cuadrado 12x12x1 mm.,1,0,visible,"Tubo de hierro cuadrado 12x12x1 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h2>Tubo de hierro cuadrado 12x12x1 mm. </h2>,,,taxable,,1,,,0,0,0.38,1,12,12,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,102,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
12039,variable,TSC104,Tubo de hierro cuadrado 12x12x1.5 mm.,1,0,visible,"Tubo de hierro cuadrado 12x12x1.5 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h2>Tubo de hierro cuadrado 12x12x1.5 mm. </h2>,,,taxable,,1,,,0,0,0.56,1.5,12,12,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,103,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
12040,variable,TSC105,Tubo de hierro cuadrado 14x14x1 mm.,1,0,visible,"Tubo de hierro cuadrado 14x14x1 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h2>Tubo de hierro cuadrado 14x14x1 mm. </h2>,,,taxable,,1,,,0,0,0.44,1,14,14,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,104,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
12041,variable,TSC106,Tubo de hierro cuadrado 14x14x1.5 mm.,1,0,visible,"Tubo de hierro cuadrado 14x14x1.5 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h2>Tubo de hierro cuadrado 14x14x1.5 mm. </h2>,,,taxable,,1,,,0,0,0.63,1.5,14,14,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,105,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
12042,variable,TSC107,Tubo de hierro cuadrado 16x16x1 mm.,1,0,visible,"Tubo de hierro cuadrado 16x16x1 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h2>Tubo de hierro cuadrado 16x16x1 mm. </h2>,,,taxable,,1,,,0,0,0.49,1,16,16,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,106,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
12043,variable,TSC108,Tubo de hierro cuadrado 16x16x1.5 mm.,1,0,visible,"Tubo de hierro cuadrado 16x16x1.5 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h2>Tubo de hierro cuadrado 16x16x1.5 mm. </h2>,,,taxable,,1,,,0,0,0.71,1.5,16,16,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,107,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
12044,variable,TSC109,Tubo de hierro cuadrado 18x18x1 mm.,1,0,visible,"Tubo de hierro cuadrado 18x18x1 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h2>Tubo de hierro cuadrado 18x18x1 mm. </h2>,,,taxable,,1,,,0,0,0.54,1,18,18,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,108,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
12045,variable,TSC110,Tubo de hierro cuadrado 18x18x1.5 mm.,1,0,visible,"Tubo de hierro cuadrado 18x18x1.5 mm. Tubo de acero de calidad S235JR, perfecto para cualquier proyecto que requiera una pieza de metal resistente. No importa si necesita una pieza corta o larga, nuestro servicio de corte a medida lo ayudará a conseguir el tamaño exacto que necesita.",<h2>Tubo de hierro cuadrado 18x18x1.5 mm. </h2>,,,taxable,,1,,,0,0,0.8,1.5,18,18,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Soldado Cuadrado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/10/tubos-soldados-cuadrados_auto_x2-min-e1666260715352.webp,,,,,,,,,109,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S235JR,1,1,Corte a medida,Disponible,1,1
