ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (mm),Anchura (mm),Altura (mm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3
52998,variable,TRGV101,Tubo rectangular galvanizado 20x15x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,0.78,6000,15,20,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,978,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
52999,variable,TRGV102,Tubo rectangular galvanizado 25x15x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,0.9,6000,15,25,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,979,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
53000,variable,TRGV103,Tubo rectangular galvanizado 30x10x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,0.9,6000,10,30,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,980,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
53001,variable,TRGV104,Tubo rectangular galvanizado 30x15x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,1.02,6000,15,30,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,981,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
53002,variable,TRGV105,Tubo rectangular galvanizado 30x20x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,1.14,6000,20,30,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,982,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
53003,variable,TRGV106,Tubo rectangular galvanizado 30x20x2,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,1.5,6000,20,30,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,983,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
53004,variable,TRGV107,Tubo rectangular galvanizado 30x25x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,1.27,6000,25,30,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,984,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
53005,variable,TRGV108,Tubo rectangular galvanizado 35x10x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,1.02,6000,10,35,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,985,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
53006,variable,TRGV109,Tubo rectangular galvanizado 35x15x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,1.14,6000,15,35,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,986,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
53007,variable,TRGV110,Tubo rectangular galvanizado 35x20x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,1.27,6000,20,35,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,987,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
53008,variable,TRGV111,Tubo rectangular galvanizado 35x25x1.5,1,0,visible,Tubo liso galvanizado de acero soldado con calidad s 235 (st37),,,,taxable,,1,,,0,0,1.39,6000,25,35,1,,,,"Perfiles de Acero, Perfiles de Acero > Tubos de Hierro > Tubo Rectangular Galvanizado, Perfiles de Acero > Tubos de Hierro",,,https://www.rejasmodernas.com/wp-content/uploads/2022/08/metalhive-tubo-rectangular-galvanizado-min.webp,,,,,,,,,988,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Calidad del acero,s 235 (st37),1,1,Corte a medida,Disponible,1,1
